id,ten_model_thiet_bi,hang_san_xuat,thong_so_ky_thuat_id,ghi_chu
1,"D 2,0",,1000,
3,"D 3,0",,1000,
4,"D 4,5",,1000,
5,"G 2,0",,1000,
7,"D 2,5",,1000,
10,"G 1,5",,1000,
11,YALE C489 MR20H,,1000,
12,FD25T-16,,1000,
13,FD25T-17,,1000,
14,FD25T3-,,1000,
15,FD25T3-VM600,,1000,
16,110 HX,,1000,
17,600 AJ,,1000,
18,800 A,,1000,
19,45/22,,1000,
20,54323,,1000,
21,54112,,1000,
22,54115,,1000,
23,64229,,1000,
24,YT180,,1000,
25,PT122,,1000,
26,TJ9000,,1000,
27,HD700,,1000,
28,DWV3TEF,,1000,
29,CAMRY-2.5,,1000,
30,ALTIS,,1000,
31,HIACE-2ZR,,1000,
32,ZACE,,1000,
33,COROLA-1.6,,1000,
34,INNOVAR,,1000,
35,ACCORD-2.0,,1000,
36,ESCAPE,,1000,
37,PORTER,,1000,
38,HILUX,,1000,
39,EVEREST,,1000,
40,FORTUNER,,1000,
41,PORTER 1.0T,,1000,
42,PORTER 1.25T,,1000,
43,PORTER H100,,1000,
44,K2700II,,1000,
45,1T9,,1000,
47,LEADER,,1000,
48,131,,1000,
49,FUSO,,1000,
50,FRR90N,,1000,
51,CAMRY-2.4,,1000,
52,CAMRY-2.2,,1000,
53,YA3469,,1000,
54,5337,,1000,
55,STAREX,,1000,
56,ZOOMLION,,1000,
57,UNKNOWN,,1000,
58,350 KVA,,1000,
59,54 TEU,,1000,
60,72 TEU,,1000,
61,128 TEU,,1000,
62,375 KVA,,1000,
63,550 KVA,,1000,
64,1031 KVA,,1000,
65,1065 KVA,,1000,
66,750 KVA,,1000,
67,108 KVA,,1000,
68,450 KVA,,1000,
69,150 KVA,,1000,
70,2000 KVA,,1000,
72,1045 KVA,,1000,
76,1000 KVA,,1000,
77,380 KVA,,1000,
78,YT220,,1000,
79,Novus,,1000,
1000, Model Thiết Bị,,1000,